date,open,high,low,close,volume,source
2025-02-27,591.6,598.5,576.0,583.0,111054.0,backfill_api
2025-03-02,584.0,596.9,582.0,587.0,80476.0,backfill_api
2025-03-03,598.7,645.0,589.2,590.0,332013.0,backfill_api
2025-03-04,590.0,590.0,546.0,546.0,308933.0,backfill_api
2025-03-05,540.0,548.0,535.0,543.0,71939.0,backfill_api
2025-03-06,553.8,557.8,538.0,538.5,77991.0,backfill_api
2025-03-09,539.0,542.0,516.0,516.0,107428.0,backfill_api
2025-03-10,505.7,534.9,505.7,526.0,78376.0,backfill_api
2025-03-11,536.5,536.5,511.0,512.0,56232.0,backfill_api
2025-03-12,512.0,523.0,510.0,517.0,34685.0,backfill_api
2025-03-16,516.0,519.0,494.0,507.9,90028.0,backfill_api
2025-03-17,505.1,512.9,497.1,503.0,25109.0,backfill_api
2025-03-18,501.0,512.5,496.0,499.9,23073.0,backfill_api
2025-03-19,497.0,500.0,486.0,492.0,38073.0,backfill_api
2025-03-20,489.0,493.0,480.0,482.49,39732.0,backfill_api
2025-03-23,483.0,483.0,461.6,463.88,58090.0,backfill_api
2025-03-24,460.0,479.0,451.0,469.12,36273.0,backfill_api
2025-03-25,463.0,468.0,446.0,449.02,43749.0,backfill_api
2025-03-26,455.0,468.0,447.0,462.58,33210.0,backfill_api
2025-03-27,462.0,488.0,457.1,482.19,51021.0,backfill_api
2025-03-30,472.6,516.0,466.9,507.63,102321.0,backfill_api
2025-04-01,497.5,513.9,490.0,503.03,68975.0,backfill_api
2025-04-02,493.0,511.0,493.0,503.13,35587.0,backfill_api
2025-04-03,496.1,510.0,493.0,496.61,52416.0,backfill_api
2025-04-07,492.0,496.9,480.0,481.21,32734.0,backfill_api
2025-04-08,473.1,489.9,471.0,485.97,30464.0,backfill_api
2025-04-09,486.0,495.5,486.0,488.05,22035.0,backfill_api
2025-04-10,487.0,492.0,474.6,476.1,61712.0,backfill_api
2025-04-13,476.0,484.8,467.0,471.56,32705.0,backfill_api
2025-04-15,478.0,494.0,467.3,482.32,38797.0,backfill_api
2025-04-16,491.9,492.0,476.2,480.22,31857.0,backfill_api
2025-04-17,480.4,496.0,480.4,491.01,64335.0,backfill_api
2025-04-20,495.0,495.0,476.3,478.98,21964.0,backfill_api
2025-04-21,477.0,484.6,471.0,473.55,40422.0,backfill_api
2025-04-22,482.0,482.6,466.1,474.33,45908.0,backfill_api
2025-04-23,467.1,475.0,466.2,469.24,19459.0,backfill_api
2025-04-24,462.0,480.0,462.0,463.77,29338.0,backfill_api
2025-04-27,468.0,469.0,460.0,461.06,38004.0,backfill_api
2025-04-28,460.0,474.3,455.0,463.02,22266.0,backfill_api
2025-04-29,454.0,479.0,454.0,469.91,63217.0,backfill_api
2025-04-30,465.0,476.4,460.6,462.22,37850.0,backfill_api
2025-05-04,463.0,471.4,462.22,463.99,22149.0,backfill_api
2025-05-05,462.0,471.0,450.2,453.64,35311.0,backfill_api
2025-05-06,456.0,459.9,451.0,452.38,21124.0,backfill_api
2025-05-07,459.0,472.0,450.0,469.6,28283.0,backfill_api
2025-05-08,477.0,478.9,460.0,462.01,34285.0,backfill_api
2025-05-11,460.0,472.3,460.0,464.98,28780.0,backfill_api
2025-05-13,456.0,471.0,456.0,460.67,24854.0,backfill_api
2025-05-14,455.8,479.0,455.8,465.19,40944.0,backfill_api
2025-05-15,466.0,469.0,457.1,460.71,22875.0,backfill_api
2025-05-18,461.0,475.0,461.0,469.39,40203.0,backfill_api
2025-05-19,474.0,483.9,470.0,475.13,48331.0,backfill_api
2025-05-20,475.0,485.0,468.2,483.12,38026.0,backfill_api
2025-05-21,492.7,505.0,475.0,475.38,49996.0,backfill_api
2025-05-22,471.1,479.0,470.0,471.51,17467.0,backfill_api
2025-05-25,470.0,475.0,461.0,464.38,24554.0,backfill_api
2025-05-26,473.6,473.6,458.0,460.13,21560.0,backfill_api
2025-05-27,462.0,462.0,452.8,454.98,21624.0,backfill_api
2025-05-28,453.6,463.9,453.6,456.49,21815.0,backfill_api
2025-06-02,465.6,475.3,456.8,466.93,24349.0,backfill_api
2025-06-03,467.1,469.0,458.0,459.68,13207.0,backfill_api
2025-06-04,450.5,462.0,450.5,456.39,11759.0,backfill_api
2025-06-05,453.3,463.3,452.5,453.31,22844.0,backfill_api
2025-06-08,451.3,455.0,448.0,449.82,34346.0,backfill_api
2025-06-09,449.0,465.0,445.2,459.77,19067.0,backfill_api
2025-06-10,457.0,468.0,457.0,462.33,23362.0,backfill_api
2025-06-11,460.0,462.0,452.1,453.69,14098.0,backfill_api
2025-06-12,450.1,454.0,448.0,451.73,38651.0,backfill_api
2025-06-15,450.0,459.0,448.0,452.62,28672.0,backfill_api
2025-06-16,451.0,465.0,451.0,460.66,38447.0,backfill_api
2025-06-17,455.5,464.5,455.0,457.51,16718.0,backfill_api
2025-06-18,455.0,458.0,453.2,455.19,22384.0,backfill_api
2025-06-19,464.0,464.0,448.3,449.77,31174.0,backfill_api
2025-06-22,458.5,458.5,439.0,441.02,20986.0,backfill_api
2025-06-23,439.0,445.0,436.0,436.24,20394.0,backfill_api
2025-06-24,436.0,450.0,433.1,433.79,18960.0,backfill_api
2025-06-25,439.9,439.9,429.2,433.89,20617.0,backfill_api
2025-06-26,430.0,440.0,430.0,431.6,23630.0,backfill_api
2025-06-29,440.0,440.0,425.1,430.76,27889.0,backfill_api
2025-06-30,432.0,443.5,432.0,436.53,15455.0,backfill_api
2025-07-01,437.0,439.3,433.0,436.56,12054.0,backfill_api
2025-07-02,434.2,449.4,434.2,448.3,27562.0,backfill_api
2025-07-03,451.0,464.0,442.0,461.28,40289.0,backfill_api
2025-07-06,462.0,475.0,456.5,465.59,59091.0,backfill_api
2025-07-07,474.9,474.9,457.7,458.47,44193.0,backfill_api
2025-07-08,460.0,460.0,450.1,454.09,20821.0,backfill_api
2025-07-09,448.1,460.5,448.1,458.01,10749.0,backfill_api
2025-07-10,453.1,462.0,453.0,456.17,27827.0,backfill_api
2025-07-13,460.0,478.0,456.1,457.5,14589.0,backfill_api
2025-07-14,450.1,454.0,449.0,449.21,21187.0,backfill_api
2025-07-15,445.1,454.9,445.1,451.77,17882.0,backfill_api
2025-07-16,448.0,460.0,448.0,454.49,22554.0,backfill_api
2025-07-17,463.4,474.0,460.0,468.86,46951.0,backfill_api
2025-07-20,475.0,485.0,455.0,458.86,109646.0,backfill_api
